ordem,disciplina,agente,tipo_pergunta,pergunta,resposta,fonte
139,micologia,"Dermatofitos (Trichophyton, Microsporum, Epidermophyton)",Vinheta (agente),Paciente com contato com cao/gato infectado apresenta lesao circular avermelhada em anel que coca na pele. Qual o agente?,Dermatofito (ex: Microsporum canis),dicionario-gatilhos-micologia.md
140,micologia,"Dermatofitos (Trichophyton, Microsporum, Epidermophyton)",Aplicado (tratamento),Quando o tratamento dos dermatofitos precisa ser via oral em vez de topico?,"Quando atingem unha ou cabelo, pois a queratina espessa impede a penetracao topica",dicionario-gatilhos-micologia.md
141,micologia,Sporothrix spp. (Esporotricose),Categoria,A Esporotricose e causada por que tipo de agente?,Fungo (micose subcutanea) - Sporothrix spp.,dicionario-gatilhos-micologia.md
142,micologia,Sporothrix spp. (Esporotricose),Transmissao,Quais as duas vias de transmissao da Esporotricose?,Espinho de planta contaminado ou arranhadura/mordida de gato,dicionario-gatilhos-micologia.md
143,micologia,Sporothrix spp. (Esporotricose),Achado,Qual o padrao clinico classico da Esporotricose?,Nodulos/ulceras subindo pelo braco ao longo do trajeto linfatico,dicionario-gatilhos-micologia.md
144,micologia,Sporothrix spp. (Esporotricose),Vinheta (agente),Paciente arranhado por gato desenvolve nodulo no local seguido de outros nodulos subindo pelo braco. Qual o agente?,Sporothrix spp. (Esporotricose),dicionario-gatilhos-micologia.md
145,micologia,Sporothrix spp. (Esporotricose),Aplicado (tratamento),"Diante da Esporotricose, qual o tratamento de primeira linha?",Itraconazol oral,dicionario-gatilhos-micologia.md
146,micologia,Cromoblastomicose (Fonsecaea/Cladophialophora/Phialophora),Categoria,A Cromoblastomicose e causada por que tipo de agente?,Fungo (micose subcutanea) - Fonsecaea/Cladophialophora/Phialophora,dicionario-gatilhos-micologia.md
147,micologia,Cromoblastomicose (Fonsecaea/Cladophialophora/Phialophora),Transmissao,Como se adquire a Cromoblastomicose?,Espinho ou farpa de madeira contaminada,dicionario-gatilhos-micologia.md
148,micologia,Cromoblastomicose (Fonsecaea/Cladophialophora/Phialophora),Achado,Qual o aspecto clinico das lesoes de Cromoblastomicose?,Placa verrucosa com aspecto de couve-flor,dicionario-gatilhos-micologia.md
149,micologia,Cromoblastomicose (Fonsecaea/Cladophialophora/Phialophora),Vinheta (agente),Trabalhador rural que pisou em espinho anos atras desenvolve placa verrucosa cronica em couve-flor no pe. Qual o agente?,Fonsecaea pedrosoi (Cromoblastomicose),dicionario-gatilhos-micologia.md
150,micologia,Cromoblastomicose (Fonsecaea/Cladophialophora/Phialophora),Aplicado (tratamento),"Diante de lesao pequena inicial de Cromoblastomicose, qual a conduta?",Excisao cirurgica ou criocirurgia,dicionario-gatilhos-micologia.md
151,micologia,"Eumicetomas (Madurella, Pseudallescheria, Acremonium)",Categoria,O Eumicetoma e causado por que tipo de agente?,"Fungo (micose subcutanea) - Madurella, Pseudallescheria, Acremonium",dicionario-gatilhos-micologia.md
152,micologia,"Eumicetomas (Madurella, Pseudallescheria, Acremonium)",Transmissao,Como se adquire um Eumicetoma?,"Espinho contaminado, tipicamente no pe",dicionario-gatilhos-micologia.md
153,micologia,"Eumicetomas (Madurella, Pseudallescheria, Acremonium)",Achado,Qual a triade clinica classica do Eumicetoma?,"Tumefacao indolor, fistulas de drenagem e eliminacao de graos",dicionario-gatilhos-micologia.md
154,micologia,"Eumicetomas (Madurella, Pseudallescheria, Acremonium)",Vinheta (agente),Agricultor que anda descalco apresenta tumefacao no pe com multiplas fistulas drenando graos. Qual o agente?,Madurella mycetomatis (Eumicetoma / pe de Madura),dicionario-gatilhos-micologia.md
155,micologia,"Eumicetomas (Madurella, Pseudallescheria, Acremonium)",Aplicado (tratamento),"Diante do Eumicetoma, qual a conduta terapeutica?",Desbridamento cirurgico associado a Itraconazol por cerca de 12 meses,dicionario-gatilhos-micologia.md
156,micologia,Lacazia loboi (Lobomicose),Categoria,A Lobomicose e causada por que tipo de agente?,Fungo (micose subcutanea) - Lacazia loboi,dicionario-gatilhos-micologia.md
157,micologia,Lacazia loboi (Lobomicose),Transmissao,Como se adquire a Lobomicose e onde e endemica?,Trauma na pele em floresta amazonica umida,dicionario-gatilhos-micologia.md
158,micologia,Lacazia loboi (Lobomicose),Achado,Qual o aspecto clinico das lesoes de Lobomicose?,Lesoes com aspecto de cicatriz queloidiana,dicionario-gatilhos-micologia.md
159,micologia,Lacazia loboi (Lobomicose),Vinheta (agente),Morador da regiao amazonica com trauma cutaneo previo na floresta desenvolve lesoes tipo queloide que nao regridem. Qual o agente?,Lacazia loboi (Lobomicose),dicionario-gatilhos-micologia.md
160,micologia,Lacazia loboi (Lobomicose),Aplicado (tratamento),"Diante da Lobomicose, qual a conduta principal, dada a resistencia do fungo a remedios?",Excisao cirurgica ampla,dicionario-gatilhos-micologia.md
161,micologia,Paracoccidioides brasiliensis/lutzii (Paracoccidioidomicose),Categoria,A Paracoccidioidomicose e causada por que tipo de agente?,Fungo (micose sistemica endemica) - Paracoccidioides brasiliensis/lutzii,dicionario-gatilhos-micologia.md
162,micologia,Paracoccidioides brasiliensis/lutzii (Paracoccidioidomicose),Transmissao,Como se adquire a Paracoccidioidomicose?,"Inalacao de poeira com esporos do fungo, em lavouras de cafe ou cana",dicionario-gatilhos-micologia.md
163,micologia,Paracoccidioides brasiliensis/lutzii (Paracoccidioidomicose),Achado,Qual o perfil clinico tipico da Paracoccidioidomicose?,"Doenca pulmonar cronica associada a ulceras na boca, quase so em homens adultos",dicionario-gatilhos-micologia.md
164,micologia,Paracoccidioides brasiliensis/lutzii (Paracoccidioidomicose),Vinheta (agente),"Trabalhador rural de lavoura de cafe, do sexo masculino, desenvolve doenca pulmonar cronica e ulceras dolorosas na boca. Qual o agente?",Paracoccidioides brasiliensis/lutzii (Paracoccidioidomicose),dicionario-gatilhos-micologia.md
165,micologia,Paracoccidioides brasiliensis/lutzii (Paracoccidioidomicose),Aplicado (tratamento),"Diante da Paracoccidioidomicose, qual o tratamento?",Itraconazol oral prolongado,dicionario-gatilhos-micologia.md
166,micologia,Histoplasma capsulatum (Histoplasmose),Categoria,A Histoplasmose e causada por que tipo de agente?,Fungo (micose sistemica endemica) - Histoplasma capsulatum,dicionario-gatilhos-micologia.md
167,micologia,Histoplasma capsulatum (Histoplasmose),Transmissao,Como se adquire a Histoplasmose?,"Inalacao de poeira com esporos do fungo, de fezes secas de morcego/ave (cavernas, sotaos)",dicionario-gatilhos-micologia.md
168,micologia,Histoplasma capsulatum (Histoplasmose),Achado,Qual a diferenca de gravidade da Histoplasmose entre saudaveis e imunodeprimidos?,Pneumonia leve em saudaveis; forma grave e disseminada em imunodeprimidos,dicionario-gatilhos-micologia.md
169,micologia,Histoplasma capsulatum (Histoplasmose),Vinheta (agente),Espeleologo que visitou caverna com morcegos desenvolve pneumonia leve; um paciente HIV positivo com a mesma exposicao desenvolve doenca disseminada grave. Qual o agente comum?,Histoplasma capsulatum (Histoplasmose),dicionario-gatilhos-micologia.md
170,micologia,Histoplasma capsulatum (Histoplasmose),Aplicado (tratamento),"Diante de Histoplasmose grave/disseminada, qual o tratamento?",Anfotericina B,dicionario-gatilhos-micologia.md
171,micologia,Coccidioides immitis/posadasii (Coccidioidomicose),Categoria,A Coccidioidomicose e causada por que tipo de agente?,Fungo (micose sistemica endemica) - Coccidioides immitis/posadasii,dicionario-gatilhos-micologia.md
172,micologia,Coccidioides immitis/posadasii (Coccidioidomicose),Transmissao,Como se transmite a Coccidioidomicose?,"Inalacao de poeira com esporos do fungo, de solo seco em regiao semiarida",dicionario-gatilhos-micologia.md
173,micologia,Coccidioides immitis/posadasii (Coccidioidomicose),Achado,Qual o quadro agudo tipico da Coccidioidomicose?,Pneumonia aguda conhecida como febre do vale,dicionario-gatilhos-micologia.md
174,micologia,Coccidioides immitis/posadasii (Coccidioidomicose),Vinheta (agente),Pessoa que viajou por regiao semiarida de solo seco e ventania desenvolve pneumonia aguda (febre do vale). Qual o agente?,Coccidioides immitis/posadasii (Coccidioidomicose),dicionario-gatilhos-micologia.md
175,micologia,Coccidioides immitis/posadasii (Coccidioidomicose),Aplicado (tratamento),"Diante da Coccidioidomicose grave/disseminada, qual o tratamento?","Anfotericina B; nas formas leves, Itraconazol ou Fluconazol",dicionario-gatilhos-micologia.md
176,micologia,Blastomyces dermatitidis (Blastomicose),Categoria,A Blastomicose e causada por que tipo de agente?,Fungo (micose sistemica endemica) - Blastomyces dermatitidis,dicionario-gatilhos-micologia.md
177,micologia,Blastomyces dermatitidis (Blastomicose),Transmissao,Como se adquire a Blastomicose?,"Inalacao de poeira com esporos do fungo, de solo umido perto de rios",dicionario-gatilhos-micologia.md
178,micologia,Blastomyces dermatitidis (Blastomicose),Achado,Qual o achado clinico da Blastomicose disseminada?,Lesoes de pele verrucosas que imitam cancer,dicionario-gatilhos-micologia.md
179,micologia,Blastomyces dermatitidis (Blastomicose),Vinheta (agente),Cacador que acampou perto de rio desenvolve lesoes cutaneas verrucosas que parecem cancer de pele. Qual o agente?,Blastomyces dermatitidis (Blastomicose),dicionario-gatilhos-micologia.md
180,micologia,Blastomyces dermatitidis (Blastomicose),Aplicado (tratamento),"Diante da Blastomicose leve a moderada, qual o tratamento?",Itraconazol oral por 6 a 12 meses,dicionario-gatilhos-micologia.md
181,micologia,Candida spp./albicans (Candidiase),Categoria,A Candidiase e causada por que tipo de agente?,Fungo (micose oportunista) - Candida spp./albicans,dicionario-gatilhos-micologia.md
182,micologia,Candida spp./albicans (Candidiase),Transmissao,A Candidiase e uma infeccao endogena ou exogena?,Endogena; o fungo ja reside nas mucosas normais e prolifera apos quebra de barreiras,dicionario-gatilhos-micologia.md
183,micologia,Candida spp./albicans (Candidiase),Achado,Qual o achado clinico classico da Candidiase oral?,Placas brancas na boca (sapinho),dicionario-gatilhos-micologia.md
184,micologia,Candida spp./albicans (Candidiase),Vinheta (agente),Paciente em uso prolongado de antibiotico de amplo espectro desenvolve placas brancas dolorosas na boca. Qual o agente?,Candida spp./albicans (Candidiase),dicionario-gatilhos-micologia.md
185,micologia,Candida spp./albicans (Candidiase),Aplicado (tratamento),"Diante de Candidiase sistemica/invasiva grave, qual o tratamento?",Fluconazol ou Equinocandina,dicionario-gatilhos-micologia.md
186,micologia,Cryptococcus neoformans/gattii (Criptococose),Categoria,A Criptococose e causada por que tipo de agente?,Fungo (micose oportunista) - Cryptococcus neoformans/gattii,dicionario-gatilhos-micologia.md
187,micologia,Cryptococcus neoformans/gattii (Criptococose),Transmissao,Quais os reservatorios do Cryptococcus?,Fezes secas de pombo (C. neoformans) ou arvores tropicais (C. gattii),dicionario-gatilhos-micologia.md
188,micologia,Cryptococcus neoformans/gattii (Criptococose),Achado,Qual o achado clinico grave da Criptococose?,Meningite grave em imunodeprimido,dicionario-gatilhos-micologia.md
189,micologia,Cryptococcus neoformans/gattii (Criptococose),Vinheta (agente),"Paciente com Aids que limpa pombais desenvolve cefaleia intensa, febre e rigidez de nuca. Qual o agente?",Cryptococcus neoformans,dicionario-gatilhos-micologia.md
190,micologia,Cryptococcus neoformans/gattii (Criptococose),Aplicado (tratamento),"Diante da meningite criptococica, qual o tratamento de primeira linha?",Anfotericina B associada a Flucitosina,dicionario-gatilhos-micologia.md
191,micologia,Aspergillus spp. (Aspergilose),Categoria,A Aspergilose e causada por que tipo de agente?,Fungo (micose oportunista) - Aspergillus spp.,dicionario-gatilhos-micologia.md
192,micologia,Aspergillus spp. (Aspergilose),Transmissao,Como se adquire a Aspergilose?,"Inalacao de esporos (conidios) do fungo, presentes no solo, dutos de ar-condicionado ou materia organica",dicionario-gatilhos-micologia.md
193,micologia,Aspergillus spp. (Aspergilose),Achado,Qual o achado radiologico caracteristico de uma forma nao invasiva de Aspergilose?,"Bola fungica no pulmao (aspergiloma), geralmente numa cavidade pulmonar previa",dicionario-gatilhos-micologia.md
194,micologia,Aspergillus spp. (Aspergilose),Vinheta (agente),Paciente com sequela de tuberculose (cavidade pulmonar antiga) desenvolve massa fungica visivel no raio-x. Qual o agente?,Aspergillus spp. (Aspergilose),dicionario-gatilhos-micologia.md
195,micologia,Aspergillus spp. (Aspergilose),Aplicado (tratamento),"Diante de Aspergilose invasiva grave, qual o tratamento?",Voriconazol,dicionario-gatilhos-micologia.md
196,micologia,Pneumocystis jirovecii (PCP),Categoria,A Pneumonia por Pneumocystis (PCP) e causada por que tipo de agente?,Fungo (micose oportunista) - Pneumocystis jirovecii,dicionario-gatilhos-micologia.md
197,micologia,Pneumocystis jirovecii (PCP),Transmissao,Em quem ocorre tipicamente a Pneumonia por Pneumocystis?,"Imunodeprimidos graves, classicamente HIV com CD4 abaixo de 200 celulas/mm3",dicionario-gatilhos-micologia.md
198,micologia,Pneumocystis jirovecii (PCP),Achado,Qual a triade clinica da Pneumonia por Pneumocystis?,"Tosse seca persistente, febre e dispneia progressiva grave",dicionario-gatilhos-micologia.md
199,micologia,Pneumocystis jirovecii (PCP),Vinheta (agente),Paciente HIV positivo com CD4 abaixo de 200 desenvolve tosse seca e falta de ar progressiva. Qual o agente?,Pneumocystis jirovecii (PCP),dicionario-gatilhos-micologia.md
200,micologia,Pneumocystis jirovecii (PCP),Aplicado (tratamento),"Por que os antifungicos classicos nao funcionam no Pneumocystis, e qual o tratamento usado?",O fungo nao tem ergosterol na membrana; usa-se Sulfametoxazol-Trimetoprima (Cotrimoxazol),dicionario-gatilhos-micologia.md
